,subj,chunk,early,late,axis
154,0119173_neurosketch,4,0.34999999999999998,0.38095238095238093,bed_table
155,0119174_neurosketch,4,0.75,0.52380952380952384,bench_chair
156,0120171_neurosketch,4,0.75,0.5714285714285714,bench_table
157,0120172_neurosketch,4,0.69999999999999996,0.47619047619047616,chair_table
158,0120173_neurosketch,4,0.59999999999999998,0.47619047619047616,bed_bench
159,0123171_neurosketch,4,0.5,0.52380952380952384,bed_table
160,0123172_neurosketch,4,0.34999999999999998,0.47619047619047616,bench_chair
161,0123173_neurosketch,4,0.40000000000000002,0.52380952380952384,bench_table
162,0124171_neurosketch,4,0.55000000000000004,0.33333333333333331,chair_table
163,0125171_neurosketch,4,0.40000000000000002,0.42857142857142855,bench_chair
164,0125172_neurosketch,4,0.65000000000000002,0.52380952380952384,bed_chair
165,1121161_neurosketch,4,0.25,0.33333333333333331,bed_table
166,1130161_neurosketch,4,0.65000000000000002,0.66666666666666663,bench_chair
167,1201161_neurosketch,4,0.40000000000000002,0.38095238095238093,bench_table
168,1202161_neurosketch,4,0.69999999999999996,0.5714285714285714,bed_chair
169,1203161_neurosketch,4,0.65000000000000002,0.52380952380952384,chair_table
170,1206161_neurosketch,4,0.55000000000000004,0.61904761904761907,bed_bench
171,1206162_neurosketch,4,0.40000000000000002,0.5714285714285714,bed_chair
172,1206163_neurosketch,4,0.25,0.42857142857142855,bed_table
173,1207161_neurosketch,4,0.5,0.52380952380952384,bench_chair
174,1207162_neurosketch,4,0.5,0.5714285714285714,bench_table
175,0110171_neurosketch,5,0.59999999999999998,0.33333333333333331,bed_bench
176,0110172_neurosketch,5,0.69999999999999996,0.47619047619047616,bed_chair
177,0111171_neurosketch,5,0.55000000000000004,0.2857142857142857,bed_table
178,0112171_neurosketch,5,0.5,0.2857142857142857,bench_chair
179,0112172_neurosketch,5,0.5,0.42857142857142855,bench_table
180,0112173_neurosketch,5,0.40000000000000002,0.23809523809523808,chair_table
181,0113171_neurosketch,5,0.75,0.61904761904761907,bed_chair
182,0115172_neurosketch,5,0.45000000000000001,0.61904761904761907,bed_table
183,0115174_neurosketch,5,0.75,0.61904761904761907,bench_chair
184,0117171_neurosketch,5,0.10000000000000001,0.0,bench_table
185,0118171_neurosketch,5,0.59999999999999998,0.5714285714285714,chair_table
186,0118172_neurosketch,5,0.40000000000000002,0.52380952380952384,chair_table
187,0119171_neurosketch,5,0.45000000000000001,0.47619047619047616,bed_bench
188,0119172_neurosketch,5,0.55000000000000004,0.38095238095238093,bed_chair
189,0119173_neurosketch,5,0.5,0.47619047619047616,bed_table
190,0119174_neurosketch,5,0.90000000000000002,0.52380952380952384,bench_chair
191,0120171_neurosketch,5,0.75,0.52380952380952384,bench_table
192,0120172_neurosketch,5,0.55000000000000004,0.52380952380952384,chair_table
193,0120173_neurosketch,5,0.55000000000000004,0.5714285714285714,bed_bench
194,0123171_neurosketch,5,0.45000000000000001,0.5714285714285714,bed_table
195,0123172_neurosketch,5,0.40000000000000002,0.38095238095238093,bench_chair
196,0123173_neurosketch,5,0.40000000000000002,0.42857142857142855,bench_table
197,0124171_neurosketch,5,0.5,0.33333333333333331,chair_table
198,0125171_neurosketch,5,0.45000000000000001,0.52380952380952384,bench_chair
199,0125172_neurosketch,5,0.69999999999999996,0.5714285714285714,bed_chair
200,1121161_neurosketch,5,0.25,0.33333333333333331,bed_table
201,1130161_neurosketch,5,0.65000000000000002,0.66666666666666663,bench_chair
202,1201161_neurosketch,5,0.29999999999999999,0.42857142857142855,bench_table
203,1202161_neurosketch,5,0.69999999999999996,0.52380952380952384,bed_chair
204,1203161_neurosketch,5,0.55000000000000004,0.52380952380952384,chair_table
205,1206161_neurosketch,5,0.5,0.61904761904761907,bed_bench
206,1206162_neurosketch,5,0.65000000000000002,0.47619047619047616,bed_chair
207,1206163_neurosketch,5,0.29999999999999999,0.38095238095238093,bed_table
208,1207161_neurosketch,5,0.5,0.66666666666666663,bench_chair
209,1207162_neurosketch,5,0.55000000000000004,0.61904761904761907,bench_table
210,0110171_neurosketch,6,0.84999999999999998,0.38095238095238093,bed_bench
211,0110172_neurosketch,6,0.69999999999999996,0.52380952380952384,bed_chair
212,0111171_neurosketch,6,0.40000000000000002,0.33333333333333331,bed_table
213,0112171_neurosketch,6,0.5,0.47619047619047616,bench_chair
214,0112172_neurosketch,6,0.55000000000000004,0.42857142857142855,bench_table
215,0112173_neurosketch,6,0.34999999999999998,0.23809523809523808,chair_table
216,0113171_neurosketch,6,0.69999999999999996,0.61904761904761907,bed_chair
217,0115172_neurosketch,6,0.45000000000000001,0.61904761904761907,bed_table
218,0115174_neurosketch,6,0.75,0.7142857142857143,bench_chair
219,0117171_neurosketch,6,0.14999999999999999,0.14285714285714285,bench_table
220,0118171_neurosketch,6,0.59999999999999998,0.38095238095238093,chair_table
221,0118172_neurosketch,6,0.40000000000000002,0.5714285714285714,chair_table
222,0119171_neurosketch,6,0.55000000000000004,0.47619047619047616,bed_bench
223,0119172_neurosketch,6,0.59999999999999998,0.2857142857142857,bed_chair
224,0119173_neurosketch,6,0.5,0.52380952380952384,bed_table
225,0119174_neurosketch,6,0.90000000000000002,0.52380952380952384,bench_chair
226,0120171_neurosketch,6,0.75,0.5714285714285714,bench_table
227,0120172_neurosketch,6,0.55000000000000004,0.5714285714285714,chair_table
228,0120173_neurosketch,6,0.40000000000000002,0.5714285714285714,bed_bench
229,0123171_neurosketch,6,0.59999999999999998,0.66666666666666663,bed_table
230,0123172_neurosketch,6,0.40000000000000002,0.66666666666666663,bench_chair
231,0123173_neurosketch,6,0.45000000000000001,0.47619047619047616,bench_table
232,0124171_neurosketch,6,0.45000000000000001,0.38095238095238093,chair_table
233,0125171_neurosketch,6,0.59999999999999998,0.5714285714285714,bench_chair
234,0125172_neurosketch,6,0.59999999999999998,0.66666666666666663,bed_chair
235,1121161_neurosketch,6,0.25,0.33333333333333331,bed_table
236,1130161_neurosketch,6,0.59999999999999998,0.7142857142857143,bench_chair
237,1201161_neurosketch,6,0.34999999999999998,0.47619047619047616,bench_table
238,1202161_neurosketch,6,0.65000000000000002,0.61904761904761907,bed_chair
239,1203161_neurosketch,6,0.55000000000000004,0.52380952380952384,chair_table
240,1206161_neurosketch,6,0.5,0.66666666666666663,bed_bench
241,1206162_neurosketch,6,0.69999999999999996,0.5714285714285714,bed_chair
242,1206163_neurosketch,6,0.34999999999999998,0.47619047619047616,bed_table
243,1207161_neurosketch,6,0.59999999999999998,0.5714285714285714,bench_chair
244,1207162_neurosketch,6,0.55000000000000004,0.61904761904761907,bench_table
245,0110171_neurosketch,7,0.69999999999999996,0.42857142857142855,bed_bench
246,0110172_neurosketch,7,0.55000000000000004,0.47619047619047616,bed_chair
247,0111171_neurosketch,7,0.40000000000000002,0.47619047619047616,bed_table
248,0112171_neurosketch,7,0.55000000000000004,0.52380952380952384,bench_chair
249,0112172_neurosketch,7,0.55000000000000004,0.38095238095238093,bench_table
250,0112173_neurosketch,7,0.40000000000000002,0.33333333333333331,chair_table
251,0113171_neurosketch,7,0.80000000000000004,0.61904761904761907,bed_chair
252,0115172_neurosketch,7,0.34999999999999998,0.61904761904761907,bed_table
253,0115174_neurosketch,7,0.80000000000000004,0.76190476190476186,bench_chair
254,0117171_neurosketch,7,0.20000000000000001,0.14285714285714285,bench_table
255,0118171_neurosketch,7,0.59999999999999998,0.42857142857142855,chair_table
256,0118172_neurosketch,7,0.45000000000000001,0.5714285714285714,chair_table
